word_pair,word1,word2,observed_freq,word1_freq,word2_freq,expected_freq,mutual_information,t_score,combined_score
et al,et,al,3383,3545,3446,1.914935,10.786792,58.130639,0.460520
rather than,rather,than,2200,3113,10745,5.243341,8.712801,46.792369,0.351729
has been,has,been,4755,19642,12665,38.995406,6.929997,68.391001,0.322947
carried out,carried,out,1078,1233,6266,1.211089,9.797837,32.796024,0.311884
does not,does,not,3104,4752,29845,22.231592,7.125373,55.314519,0.311284
university press,university,press,818,1625,1527,0.388969,11.03823,28.587099,0.301524
have been,have,been,4579,24793,12665,49.221724,6.539594,66.940912,0.297703
based on,based,on,2237,3108,36051,17.563897,6.992808,46.925581,0.286470
did not,did,not,1773,2968,29845,13.885388,6.996481,41.777242,0.273189
new york,new,york,708,7653,740,0.88774,9.639396,26.574906,0.268347
for example,for,example,3305,53993,5285,44.730628,6.207243,56.711058,0.264297
can be,can,be,10317,22213,56510,196.768272,5.712382,99.635417,0.263412
such as,such,as,6832,12217,66042,126.475772,5.755375,81.125765,0.257108
other hand,other,hand,848,11378,1773,3.162257,8.066966,29.011847,0.255646
do not,do,not,2030,5025,29845,23.508786,6.432136,44.533748,0.255172
at least,at,least,919,21726,1278,4.352444,7.722095,30.171439,0.253459
no longer,no,longer,705,8943,1204,1.687844,8.706298,26.488268,0.253297
relationship between,relationship,between,867,2286,10907,3.908446,7.793293,29.312126,0.250955
associated with,associated,with,1269,1661,39877,10.382804,6.933352,35.331563,0.250948
their own,their,own,1221,18599,3276,9.551158,6.998172,34.669474,0.250909
united states,united,states,550,969,3382,0.513712,10.064255,23.430174,0.249745
even though,even,though,621,4643,1986,1.445441,8.746939,24.861868,0.243288
human rights,human,rights,569,3551,1926,1.072086,9.051865,23.808777,0.240358
into account,into,account,671,9028,1762,2.493561,8.071961,25.807405,0.237703
as well,as,well,2849,66042,4848,50.188634,5.826951,52.43574,0.235937
should be,should,be,3472,7469,56510,66.162258,5.713615,57.800833,0.235156
those who,those,who,770,4353,6959,4.748518,7.341237,27.577749,0.231457
this essay,this,essay,1197,53108,1734,14.435492,6.373659,34.180449,0.226586
op cit,op,cit,335,353,354,0.019588,14.061869,18.301935,0.225388
i am,i,am,456,10283,540,0.870435,9.033082,21.313395,0.221339
long term,long,term,425,2333,1630,0.596108,9.477674,20.586613,0.220250
oxford university,oxford,university,393,1324,1625,0.337259,10.186455,19.807215,0.219826
looking at,looking,at,625,1060,21726,3.610008,7.43571,24.8556,0.219512
be seen,be,seen,1933,56510,3971,35.176105,5.780102,43.165819,0.219490
must be,must,be,2159,4679,56510,41.447744,5.702926,45.573021,0.219068
look at,look,at,662,1297,21726,4.417152,7.227571,25.557683,0.218638
th century,th,century,364,930,1587,0.231357,10.619603,19.066658,0.216173
well as,well,as,2387,4848,66042,50.188634,5.571694,47.829677,0.214565
difference between,difference,between,556,1695,10907,2.897995,7.583886,23.45675,0.214474
could be,could,be,3353,9051,56510,80.176007,5.386138,56.520484,0.212106
there are,there,are,4120,16114,41040,103.665264,5.31264,62.572181,0.211841
for instance,for,instance,775,53993,984,8.328276,6.540035,27.539661,0.209448
had been,had,been,1162,9250,12665,18.364093,5.983579,33.549397,0.208975
each other,each,other,862,6186,11378,11.033121,6.287775,28.984047,0.206746
focus on,focus,on,756,1553,36051,8.776297,6.42863,27.176263,0.204605
see appendix,see,appendix,384,4229,1584,1.050063,8.514486,19.542332,0.201443
ibid p,ibid,p,442,2254,5794,2.047175,7.754268,20.926422,0.201356
caused by,caused,by,695,1324,38073,7.901829,6.458683,26.063119,0.201003
responsible for,responsible,for,639,770,53993,6.517045,6.615454,25.020639,0.200849
depending on,depending,on,478,529,36051,2.989479,7.320973,21.726476,0.199168
less than,less,than,583,3266,10745,5.501044,6.727647,23.917563,0.198523
due to,due,to,5175,5370,182356,153.503009,5.07522,69.803634,0.198291
fact that,fact,that,1848,3539,77225,42.841141,5.430824,41.991795,0.198210
set up,set,up,443,2980,5131,2.39685,7.530023,20.933687,0.197820
away from,away,from,535,1033,27649,4.477157,6.900812,22.936503,0.197562
per cent,per,cent,276,1936,281,0.085277,11.660216,16.608115,0.196954
developing countries,developing,countries,321,1086,2818,0.479726,9.386147,17.889697,0.195940
hong kong,hong,kong,246,273,254,0.01087,14.466054,15.683694,0.195743
suggests that,suggests,that,1164,1877,77225,22.721905,5.678863,33.451453,0.195289
more than,more,than,1361,17191,10745,28.955436,5.554689,36.106857,0.194936
will be,will,be,5086,17495,56510,154.975056,5.036424,69.143128,0.194891
argued that,argued,that,914,1276,77225,15.446537,5.886839,29.721507,0.194433
more likely,more,likely,585,17191,2392,6.445919,6.503907,23.920267,0.192868
cannot be,cannot,be,1106,2455,56510,21.747,5.668391,32.602663,0.192833
not necessarily,not,necessarily,446,29845,651,3.045616,7.194166,20.974498,0.192268
its own,its,own,575,12235,3276,6.283049,6.515953,23.717136,0.192238
able to,able,to,3015,3071,182356,87.785426,5.102033,53.310272,0.189663
most important,most,important,543,7094,5357,5.957107,6.510197,23.046716,0.188917
argue that,argue,that,741,963,77225,11.657536,5.990139,26.793065,0.188905
argues that,argues,that,804,1130,77225,13.679144,5.877146,27.872468,0.188435
points out,points,out,352,1445,6266,1.419322,7.95423,18.686013,0.188121
carry out,carry,out,298,532,6266,0.522546,9.155538,17.232406,0.188106
in order,in,order,4310,139145,6233,135.952526,4.986513,63.57974,0.188045
we can,we,can,1706,12541,22213,43.667862,5.287902,40.246516,0.187434
al 2003,al,2003,360,3446,3065,1.655649,7.764456,18.886406,0.187167
nineteenth century,nineteenth,century,243,266,1587,0.066173,11.842425,15.584212,0.186420
same time,same,time,554,4867,8800,6.713772,6.366619,23.251964,0.186186
depends on,depends,on,432,606,36051,3.424621,6.978943,20.619843,0.186138
would be,would,be,3987,14413,56510,127.673935,4.964768,61.120705,0.184970
according to,according,to,2349,2372,182356,67.804308,5.114526,47.067489,0.184874
may be,may,be,3113,10856,56510,96.165145,5.016648,54.070698,0.184176
