word_pair,word1,word2,pair_freq,word1_freq,word2_freq,logdice
hitlerjunge quex,hitlerjunge,quex,24,24,24,14.0
tinea capitis,tinea,capitis,21,21,21,14.0
balad seet,balad,seet,20,20,20,14.0
canso dantioca,canso,dantioca,14,14,14,14.0
goldne topf,goldne,topf,11,11,11,14.0
mateo falcone,mateo,falcone,11,11,11,14.0
horstmanshoff stol,horstmanshoff,stol,10,10,10,14.0
fianna fàil,fianna,fàil,10,10,10,14.0
remco vahl,remco,vahl,10,10,10,14.0
endoplasmic reticulum,endoplasmic,reticulum,9,9,9,14.0
historiographic metafiction,historiographic,metafiction,9,9,9,14.0
8h 5o,8h,5o,8,8,8,14.0
ste croix,ste,croix,7,7,7,14.0
abril despedaçado,abril,despedaçado,7,7,7,14.0
otsp tpk,otsp,tpk,7,7,7,14.0
scientia sexualis,scientia,sexualis,7,7,7,14.0
fouritem stai,fouritem,stai,6,6,6,14.0
kringelbach engell,kringelbach,engell,6,6,6,14.0
bona fide,bona,fide,6,6,6,14.0
breines wini,breines,wini,6,6,6,14.0
bloy marjie,bloy,marjie,6,6,6,14.0
dona filipa,dona,filipa,6,6,6,14.0
natl acad,natl,acad,5,5,5,14.0
flavobacterium aquatile,flavobacterium,aquatile,5,5,5,14.0
samama ozier,samama,ozier,5,5,5,14.0
rhizopus stolonifera,rhizopus,stolonifera,5,5,5,14.0
ordahl kupperman,ordahl,kupperman,5,5,5,14.0
agios petros,agios,petros,5,5,5,14.0
martinus nijhoff,martinus,nijhoff,5,5,5,14.0
teng ssuyu,teng,ssuyu,5,5,5,14.0
rhodamine 6g,rhodamine,6g,5,5,5,14.0
nouvel observateur,nouvel,observateur,5,5,5,14.0
meredeth turshen,meredeth,turshen,5,5,5,14.0
buenos aires,buenos,aires,77,78,77,13.990662
kranjska gora,kranjska,gora,42,43,42,13.982926
verlorene ehre,verlorene,ehre,23,24,23,13.968973
kuhle wampe,kuhle,wampe,21,22,21,13.966053
et al,et,al,3383,3545,3446,13.952804
milneral 2004922,milneral,2004922,14,15,14,13.949374
damnatio memoriae,damnatio,memoriae,11,12,11,13.93587
dupuytrens contracture,dupuytrens,contracture,20,20,22,13.929611
substantia nigra,substantia,nigra,10,10,11,13.929611
leptothorax nylanderi,leptothorax,nylanderi,29,31,30,13.927244
xiao tze,xiao,tze,28,31,28,13.924712
op cit,op,cit,335,353,354,13.922451
opinio juris,opinio,juris,18,19,19,13.921997
palpebral conjunctivae,palpebral,conjunctivae,9,10,9,13.921997
pers comm,pers,comm,17,17,19,13.917538
tetramorium caespitum,tetramorium,caespitum,24,24,27,13.912537
combe grenal,combe,grenal,8,9,8,13.912537
dumas fils,dumas,fils,8,9,8,13.912537
miriam bailin,miriam,bailin,8,9,8,13.912537
hong kong,hong,kong,246,273,254,13.900855
powdery mildew,powdery,mildew,35,40,35,13.900464
blackwood danby,blackwood,danby,19,21,20,13.890376
beverley mulvenna,beverley,mulvenna,18,21,18,13.884523
vladimir ilich,vladimir,ilich,12,14,12,13.884523
serratia marcescens,serratia,marcescens,6,7,6,13.884523
splinter haemorrhages,splinter,haemorrhages,6,7,6,13.884523
traum wurde,traum,wurde,6,6,7,13.884523
lingua franca,lingua,franca,6,7,6,13.884523
sí indios,sí,indios,6,6,7,13.884523
spath holme,spath,holme,6,7,6,13.884523
alteram partem,alteram,partem,6,6,7,13.884523
chiang mai,chiang,mai,6,7,6,13.884523
