word_triplet,word1,word2,word3,observed_freq,word1_freq,word2_freq,word3_freq,expected_freq,mutual_information,t_score,combined_score
oxford university press,oxford,university,press,382,1324,1625,1527,8.1e-05,22.173996,19.544816,0.362700
can be seen,can,be,seen,1244,22213,56510,3971,0.122483,13.310112,35.266911,0.331851
et al 2003,et,al,2003,359,3545,3446,3065,0.00092,18.573855,18.947247,0.323781
as well as,as,well,as,2362,66042,4848,66042,0.519575,12.15039,48.589721,0.323469
there is no,there,is,no,1273,16114,107360,8943,0.380167,11.709312,35.66847,0.285446
et al 2004,et,al,2004,256,3545,3446,3131,0.00094,18.055278,15.999941,0.283787
the united states,the,united,states,484,458820,969,3382,0.036947,13.677243,21.998321,0.282784
the other hand,the,other,hand,845,458820,11378,1773,0.227438,11.859265,29.06106,0.272601
et al 2001,et,al,2001,227,3545,3446,2708,0.000813,18.091222,15.066465,0.271858
et al 2002,et,al,2002,226,3545,3446,2662,0.000799,18.10957,15.033243,0.271548
et al 2005,et,al,2005,224,3545,3446,2843,0.000853,18.001842,14.966573,0.269843
take into account,take,into,account,217,2843,9028,1762,0.001111,17.575127,14.730844,0.263453
et al 2000,et,al,2000,207,3545,3446,2523,0.000757,18.060248,14.387442,0.262337
taken into account,taken,into,account,207,2485,9028,1762,0.000971,17.701231,14.387427,0.259764
it has been,it,has,been,808,49011,19642,12665,0.299592,11.397143,28.414801,0.257746
as a result,as,a,result,1266,66042,127246,3407,0.703528,10.813381,35.561121,0.255958
we can see,we,can,see,335,12541,22213,4229,0.028948,13.498398,18.301424,0.254570
would have been,would,have,been,501,14413,24793,12665,0.111207,12.137342,22.378061,0.253721
et al 1998,et,al,1998,180,3545,3446,1818,0.000546,18.331403,13.416367,0.250096
in order to,in,order,to,3938,139145,6233,182356,3.886242,9.984872,62.691557,0.250037
shown in figure,shown,in,figure,315,2777,139145,3091,0.029349,13.389772,17.746586,0.248659
cambridge university press,cambridge,university,press,147,561,1625,1527,3.4e-05,22.03507,12.124353,0.246124
can be used,can,be,used,670,22213,56510,8869,0.27356,11.258089,25.87379,0.246066
there was no,there,was,no,466,16114,35888,8943,0.127081,11.840365,21.581146,0.243374
this essay will,this,essay,will,319,53108,1734,17495,0.039588,12.976191,17.858355,0.242981
oxford oxford university,oxford,oxford,university,147,1324,1324,1625,7e-05,21.002036,12.12435,0.242184
corporate social responsibility,corporate,social,responsibility,151,818,6473,905,0.000118,20.290418,12.288196,0.242093
be carried out,be,carried,out,234,56510,1233,6266,0.010728,14.412823,15.296357,0.240498
there are many,there,are,many,416,16114,41040,6858,0.111443,11.86606,20.390614,0.238028
may have been,may,have,been,376,10856,24793,12665,0.083762,12.132142,19.3864,0.237912
be able to,be,able,to,1061,56510,3071,182356,0.777625,10.414062,32.549122,0.237077
wide range of,wide,range,of,205,626,1804,242534,0.00673,14.894613,14.317351,0.235100
a great deal,a,great,deal,200,127246,2103,911,0.00599,15.027018,14.141712,0.234370
a wide range,a,wide,range,185,127246,626,1804,0.003531,15.677081,13.601211,0.233630
