word_triplet,word1,word2,word3,triplet_freq,word1_freq,word2_freq,word3_freq,logdice
8h 5o 4k,8h,5o,4k,7,8,8,8,13.807355
beverley mulvenna preimplantation,beverley,mulvenna,preimplantation,18,21,18,25,13.754888
natl acad sci,natl,acad,sci,5,5,5,8,13.736966
sugata bose ayesha,sugata,bose,ayesha,6,7,8,7,13.710493
bose ayesha jalal,bose,ayesha,jalal,6,8,7,7,13.710493
sunkin onk wight,sunkin,onk,wight,10,16,10,12,13.658963
meridien dona filipa,meridien,dona,filipa,5,7,6,6,13.658963
traum wurde zum,traum,wurde,zum,6,6,7,10,13.646363
textuality poeclectics 20002001,textuality,poeclectics,20002001,7,8,10,10,13.584963
wurde zum alptraum,wurde,zum,alptraum,5,7,10,5,13.447459
aw ewing kd,aw,ewing,kd,7,12,11,9,13.392317
proc natl acad,proc,natl,acad,5,13,5,5,13.383329
wo warst du,wo,warst,du,34,45,34,81,13.350497
pilcher ¡que vivan,pilcher,¡que,vivan,7,16,8,11,13.263034
sara haslam fragmenting,sara,haslam,fragmenting,8,19,14,8,13.22741
sharon angella allard,sharon,angella,allard,5,15,5,6,13.206451
blackwood danby 1955,blackwood,danby,1955,19,21,20,59,13.189034
fdr1 fdr440 fdr875,fdr1,fdr440,fdr875,5,10,8,9,13.152003
sucht einen mörder,sucht,einen,mörder,5,5,17,6,13.099536
dupuytrens contracture kolonychia,dupuytrens,contracture,kolonychia,9,20,22,9,13.082462
jose arcadio buendia,jose,arcadio,buendia,6,12,7,15,13.082462
eine stadt sucht,eine,stadt,sucht,5,17,7,5,13.04891
stadt sucht einen,stadt,sucht,einen,5,7,5,17,13.04891
dover thrift editions,dover,thrift,editions,8,18,13,16,13.030374
leukonychia dupuytrens contracture,leukonychia,dupuytrens,contracture,9,11,20,22,13.026967
onk wight sourcebook,onk,wight,sourcebook,10,10,12,39,12.976153
deborah lynn steinberg,deborah,lynn,steinberg,16,24,42,33,12.955606
jorge luis borges,jorge,luis,borges,5,7,9,15,12.952694
intra textuality poeclectics,intra,textuality,poeclectics,7,26,8,10,12.932886
petit chrissinclair iain,petit,chrissinclair,iain,5,14,5,13,12.906891
chapelle aux saints,chapelle,aux,saints,7,8,10,29,12.837729
memoir colorado westview,memoir,colorado,westview,8,12,17,25,12.830075
bearder pers comm,bearder,pers,comm,8,19,17,19,12.803603
audi alteram partem,audi,alteram,partem,6,31,6,7,12.710493
intertextuality intra textuality,intertextuality,intra,textuality,7,19,26,8,12.664397
warst du adam,warst,du,adam,34,34,81,144,12.655617
ainu memoir colorado,ainu,memoir,colorado,8,32,12,17,12.654225
vivan los tamales,vivan,los,tamales,11,11,57,17,12.635003
quintic jerry shurman,quintic,jerry,shurman,7,32,15,9,12.584963
mccullough emmons tsang,mccullough,emmons,tsang,5,11,6,23,12.584963
bi cj dk,bi,cj,dk,7,23,25,9,12.559427
naevi caput medusa,naevi,caput,medusa,8,18,14,35,12.518873
heinrich böll wo,heinrich,böll,wo,15,29,61,45,12.415037
fromkin rodman hyams,fromkin,rodman,hyams,5,20,18,7,12.415037
les liaisons dangereuses,les,liaisons,dangereuses,8,52,12,9,12.395138
marc staunch kay,marc,staunch,kay,7,21,23,21,12.36995
böll wo warst,böll,wo,warst,15,61,45,34,12.36257
amorphous dy 7ni,amorphous,dy,7ni,8,44,19,12,12.356144
bram stoker dracula,bram,stoker,dracula,7,16,20,30,12.347923
triumph des willens,triumph,des,willens,20,87,82,20,12.344648
ford madox ford,ford,madox,ford,46,193,50,193,12.34034
¡que vivan los,¡que,vivan,los,8,8,11,57,12.337035
verlorene ehre der,verlorene,ehre,der,23,24,23,175,12.314109
sigal disarming strangers,sigal,disarming,strangers,10,24,10,64,12.292181
apical ectodermal ridge,apical,ectodermal,ridge,9,18,17,55,12.263034
villaverde cecilia valdés,villaverde,cecilia,valdés,7,20,34,16,12.263034
incas sí indios,incas,sí,indios,6,48,6,7,12.239188
tli 183 116131,tli,183,116131,5,11,35,5,12.234465
glulam softwood rectangular,glulam,softwood,rectangular,9,25,10,58,12.215729
jerry shurman wiley,jerry,shurman,wiley,7,15,9,49,12.202493
ehre der katharina,ehre,der,katharina,23,23,175,42,12.201634
bram dijkstra idols,bram,dijkstra,idols,5,16,13,24,12.17897
selvon sthe lonely,selvon,sthe,lonely,5,9,5,39,12.17897
gabriel garcia marquez,gabriel,garcia,marquez,10,33,30,44,12.165424
pale palmar creases,pale,palmar,creases,10,76,24,10,12.125531
bradley aw ewing,bradley,aw,ewing,7,54,12,11,12.125531
jeanette wintersons oranges,jeanette,wintersons,oranges,5,27,12,16,12.125531
lloyds rep pn,lloyds,rep,pn,6,36,23,9,12.082462
oxford university press,oxford,university,press,382,1324,1625,1527,12.034397
cervical arthropathy obstructive,cervical,arthropathy,obstructive,6,34,7,30,12.020178
rep pn 241,rep,pn,241,6,23,9,39,12.020178
cooking diva blog,cooking,diva,blog,14,105,15,46,12.017278
pale palpebral conjunctivae,pale,palpebral,conjunctivae,8,76,10,9,12.015107
spider naevi caput,spider,naevi,caput,8,63,18,14,12.015107
sayings unnamed spartan,sayings,unnamed,spartan,9,14,21,72,12.013421
der katharina blum,der,katharina,blum,22,175,42,47,12.0
ouclj 52 205224,ouclj,52,205224,16,16,160,16,12.0
hexter fernand braudel,hexter,fernand,braudel,13,16,31,109,12.0
pn 241 chd,pn,241,chd,6,9,39,25,11.9801
monteith sharon pat,monteith,sharon,pat,5,15,15,31,11.976153
sthe lonely londoners,sthe,lonely,londoners,5,5,39,17,11.976153
enterobacteria phage t4,enterobacteria,phage,t4,6,6,37,31,11.960472
dyer aberdeen schuler,dyer,aberdeen,schuler,5,21,27,14,11.952694
brooke andean highland,brooke,andean,highland,6,13,44,19,11.921997
frankel lenins doctrinal,frankel,lenins,doctrinal,9,16,76,23,11.909397
yanley lane studio,yanley,lane,studio,10,14,64,55,11.851608
tokyo hostess club,tokyo,hostess,club,19,39,28,199,11.777608
twist dover thrift,twist,dover,thrift,7,67,18,13,11.777608
larson brooke andean,larson,brooke,andean,6,27,13,44,11.777608
meltspun amorphous dy,meltspun,amorphous,dy,5,7,44,19,11.777608
trevor roper fernand,trevor,roper,fernand,5,11,29,31,11.757143
wolfe leveller manifestoes,wolfe,leveller,manifestoes,5,12,52,7,11.757143
vervet monkeys cheney,vervet,monkeys,cheney,9,17,87,24,11.754888
matthews sanford 1944,matthews,sanford,1944,7,47,9,45,11.734106
cyanosis leukonychia dupuytrens,cyanosis,leukonychia,dupuytrens,8,86,11,20,11.714598
seif el dawla,seif,el,dawla,6,7,75,6,11.710493
